trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,states_visited,zCount
54,False,"{'a': 0.5, 'e': 0.9676}",20,0,-82.6404944617548,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0,89,101
55,False,"{'a': 0.5, 'e': 0.9663888888888889}",20,6,-37.3405330959087,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1,89,100
56,False,"{'a': 0.5, 'e': 0.9651555555555555}",20,0,-112.33191674078736,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0,89,97
57,False,"{'a': 0.5, 'e': 0.9639}",25,0,-101.12278969865827,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0,89,91
58,False,"{'a': 0.5, 'e': 0.9626222222222223}",25,0,-147.50944234104318,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0,89,89
59,False,"{'a': 0.5, 'e': 0.9613222222222222}",20,0,-100.02273557092089,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0,89,89
60,False,"{'a': 0.5, 'e': 0.96}",20,0,-109.37213994078762,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0,89,88
61,False,"{'a': 0.5, 'e': 0.9586555555555556}",35,16,-61.70264157308798,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 0}",1,89,87
62,False,"{'a': 0.5, 'e': 0.9572888888888889}",30,12,-126.36369146356617,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 2}",1,89,86
63,False,"{'a': 0.5, 'e': 0.9559}",25,0,-88.63512740966098,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0,89,86
64,False,"{'a': 0.5, 'e': 0.9544888888888889}",25,0,-156.5059981112184,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0,89,83
65,False,"{'a': 0.5, 'e': 0.9530555555555555}",20,0,-74.96098832511575,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0,89,79
66,False,"{'a': 0.5, 'e': 0.9516}",25,0,-153.141548307033,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0,89,78
67,False,"{'a': 0.5, 'e': 0.9501222222222222}",25,3,-130.42361629674377,"{0: 11, 1: 2, 2: 7, 3: 1, 4: 1}",1,89,78
68,False,"{'a': 0.5, 'e': 0.9486222222222223}",20,0,-45.08064605171632,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0,89,76
69,False,"{'a': 0.5, 'e': 0.9471}",20,0,-118.57785598363499,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0,89,74
70,False,"{'a': 0.5, 'e': 0.9455555555555556}",25,0,-32.48883467348314,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0,89,73
71,False,"{'a': 0.5, 'e': 0.9439888888888889}",25,0,-33.22741014229308,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0,89,72
72,False,"{'a': 0.5, 'e': 0.9424}",25,0,-67.48128250081338,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0,89,72
73,False,"{'a': 0.5, 'e': 0.9407888888888889}",25,0,-95.87409722450802,"{0: 13, 1: 5, 2: 5, 3: 2, 4: 0}",0,89,72
74,False,"{'a': 0.5, 'e': 0.9391555555555555}",20,0,-101.62024751939478,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0,89,71
75,False,"{'a': 0.5, 'e': 0.9375}",25,0,-174.2260377340387,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0,89,70
76,False,"{'a': 0.5, 'e': 0.9358222222222222}",25,0,-125.33468504484543,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0,89,69
77,False,"{'a': 0.5, 'e': 0.9341222222222222}",25,0,-123.86504125420248,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0,89,68
78,False,"{'a': 0.5, 'e': 0.9324}",20,0,-119.97406637956954,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0,89,67
79,False,"{'a': 0.5, 'e': 0.9306555555555556}",25,0,-66.45961536161121,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0,89,65
80,False,"{'a': 0.5, 'e': 0.9288888888888889}",25,0,-132.5461911408268,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0,89,64
81,False,"{'a': 0.5, 'e': 0.9271}",35,10,-92.86174709571787,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",1,89,64
82,False,"{'a': 0.5, 'e': 0.9252888888888888}",20,0,-132.7143848386975,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0,89,63
83,False,"{'a': 0.5, 'e': 0.9234555555555556}",35,0,-270.8568632647352,"{0: 16, 1: 3, 2: 12, 3: 0, 4: 4}",0,89,62
84,False,"{'a': 0.5, 'e': 0.9216}",20,0,-65.6649537797998,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0,89,61
85,False,"{'a': 0.5, 'e': 0.9197222222222222}",35,12,-72.21208169288361,"{0: 18, 1: 1, 2: 1, 3: 2, 4: 1}",1,89,61
86,False,"{'a': 0.5, 'e': 0.9178222222222222}",25,0,-157.06208645197182,"{0: 10, 1: 4, 2: 9, 3: 1, 4: 1}",0,89,58
87,False,"{'a': 0.5, 'e': 0.9158999999999999}",20,16,8.520357825389176,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1,89,58
88,False,"{'a': 0.5, 'e': 0.9139555555555555}",20,12,-11.511485634468183,"{0: 5, 1: 2, 2: 1, 3: 0, 4: 0}",1,89,58
